image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_applicability,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1030.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,5.0,0.5,0.5,3.0,6.5,0.25,0.6875,partial,-0.25,0.1875,,,,,,,,,,,28.677,3.227,22.989,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1051.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.0,8.0,0.25,0.875,2.5,8.5,0.1875,0.9375,strong,-0.0625,0.0625,,,,,,,,,,,6.975,3.214,18.116,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1090.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,4.0,7.0,0.375,0.75,3.0,7.0,0.25,0.75,strong,-0.125,0.0,,,,,,,,,,,5.853,3.206,19.676,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1112.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,4.5,6.5,0.4375,0.6875,3.0,7.0,0.25,0.75,partial,-0.1875,0.0625,,,,,,,,,,,6.31,3.22,21.373,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1121.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,"No specialized affective mechanism is visibly dominant; reptile is neutral, no threat, novelty, or restorative environment.",False,1.0,,,6.5,5.5,0.6875,0.5625,6.5,5.5,0.6875,0.5625,,0.0,0.0,,,,,,,,,,,6.817,3.628,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1202.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,3.5,6.0,0.3125,0.625,partial,-0.1875,0.125,,,,,,,,,,,5.901,3.351,22.026,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1240.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,3.5,6.5,0.3125,0.6875,partial,-0.1875,0.1875,,,,,,,,,,,6.638,3.245,20.76,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1275.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,3.0,5.0,0.25,0.5,2.5,6.5,0.1875,0.6875,partial,-0.0625,0.1875,,,,,,,,,,,6.491,3.602,21.618,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1302.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.0,8.0,0.25,0.875,2.0,8.5,0.125,0.9375,strong,-0.125,0.0625,,,,,,,,,,,5.026,3.484,19.919,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1313.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,"No specialized affective mechanism is visibly dominant; ambiguous interaction without clear threat, novelty, or restorative environment.",False,0.99,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,6.2,3.655,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1350.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,"No specialized affective mechanism is visibly dominant; pig is neutral, no threat, novelty, or restorative environment.",False,1.0,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,5.235,3.821,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1440.jpg,,,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,7.5,5.0,0.8125,0.5,7.5,4.5,0.8125,0.4375,strong,0.0,-0.0625,,,,,,,,,,,6.798,3.664,19.292,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1463.jpg,,,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,7.0,6.0,0.75,0.625,7.5,6.5,0.8125,0.6875,strong,0.0625,0.0625,,,,,,,,,,,6.819,3.058,21.429,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1525.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,2.0,8.0,0.125,0.875,2.0,8.5,0.125,0.9375,strong,0.0,0.0625,,,,,,,,,,,5.203,3.772,21.53,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1595.jpg,,,True,berlyne-arousal-pleasure,berlyne-arousal-pleasure,"[""berlyne-arousal-pleasure""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,7.0,8.0,0.75,0.875,7.0,8.0,0.75,0.875,strong,0.0,0.0,,,,,,,,,,,5.572,3.94,17.993,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1603.jpg,,,True,berlyne-arousal-pleasure,berlyne-arousal-pleasure,"[""berlyne-arousal-pleasure""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,7.5,6.0,0.8125,0.625,7.0,6.0,0.75,0.625,strong,-0.0625,0.0,,,,,,,,,,,5.66,3.995,19.914,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1616.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.0,8.0,0.25,0.875,2.0,8.0,0.125,0.875,strong,-0.125,0.0,,,,,,,,,,,6.405,3.659,22.062,,,
