image,worker_id,gpu_id,ok,selected_skill,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/7080.jpg,0,0,True,berlyne-arousal-pleasure,0.95,,,5.5,5.5,0.5,0.5,5.5,5.5,0.5,0.5,0.0,0.0,,,,,,,,,,,40.722,28.869,37.185,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/9000.jpg,1,1,True,berlyne-arousal-pleasure,0.95,,,3.0,4.0,0.222222,0.333333,5.5,5.5,0.5,0.5,0.2778,0.1667,,,,,,,,,,,43.325,30.488,43.582,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4670.jpg,2,2,True,cognitive-appraisal,0.95,,,5.5,5.5,0.5,0.5,7.5,7.5,0.722222,0.722222,0.2222,0.2222,,,,,,,,,,,42.343,29.714,57.461,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2597.jpg,3,3,True,cognitive-appraisal,0.95,,,5.5,5.5,0.5,0.5,6.5,8.5,0.611111,0.833333,0.1111,0.3333,,,,,,,,,,,42.228,26.051,58.591,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5870.jpg,0,0,True,kaplan-art-restoration,0.95,,,6.5,6.5,0.611111,0.611111,7.0,4.5,0.666667,0.388889,0.0556,-0.2222,,,,,,,,,,,13.617,21.798,41.745,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5825.jpg,1,1,True,kaplan-art-restoration,0.95,,,8.5,6.0,0.833333,0.555556,8.5,3.5,0.833333,0.277778,0.0,-0.2778,,,,,,,,,,,15.467,22.009,41.429,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/6251.jpg,2,2,True,cognitive-appraisal,0.95,,,3.5,8.5,0.277778,0.833333,3.0,9.0,0.222222,0.888889,-0.0556,0.0556,,,,,,,,,,,17.24,24.661,57.336,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2220.jpg,3,3,True,panas-discrete-va,0.95,,,5.5,5.5,0.5,0.5,2.5,8.5,0.166667,0.833333,-0.3333,0.3333,,,,,,,,,,,16.812,23.336,44.932,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4645.jpg,0,0,True,todorov-face-evaluation,0.95,,,8.5,4.5,0.833333,0.388889,7.5,4.5,0.722222,0.388889,-0.1111,0.0,,,,,,,,,,,14.929,24.441,32.179,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/9190.jpg,1,1,True,todorov-face-evaluation,0.95,,,5.5,5.5,0.5,0.5,6.5,5.5,0.611111,0.5,0.1111,0.0,,,,,,,,,,,15.906,24.872,38.1,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4574.jpg,2,2,True,panas-discrete-va,0.98,,,9.0,6.5,0.888889,0.611111,9.0,7.5,0.888889,0.722222,0.0,0.1111,,,,,,,,,,,15.419,29.588,45.921,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5836.jpg,3,3,True,kaplan-art-restoration,0.95,,,7.0,5.5,0.666667,0.5,7.5,4.5,0.722222,0.388889,0.0556,-0.1111,,,,,,,,,,,15.27,28.151,41.71,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2357.jpg,0,0,True,cognitive-appraisal,0.85,,,6.5,3.5,0.611111,0.277778,6.5,3.5,0.611111,0.277778,0.0,0.0,,,,,,,,,,,18.749,30.179,53.357,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/7004.jpg,1,1,True,berlyne-arousal-pleasure,0.95,,,5.5,5.5,0.5,0.5,6.5,5.5,0.611111,0.5,0.1111,0.0,,,,,,,,,,,13.909,23.984,40.777,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2751.jpg,2,2,True,cognitive-appraisal,0.95,,,3.0,6.5,0.222222,0.611111,3.5,6.5,0.277778,0.611111,0.0556,0.0,,,,,,,,,,,17.665,23.793,72.529,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/6260.jpg,3,3,True,cognitive-appraisal,0.95,,,3.0,8.5,0.222222,0.833333,1.0,9.5,0.0,0.944444,-0.2222,0.1111,,,,,,,,,,,15.017,25.848,58.054,,,
