image,worker_id,gpu_id,ok,selected_skill,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/7080.jpg,0,0,True,berlyne-arousal-pleasure,0.9,,,5.5,5.5,0.5,0.5,5.5,3.0,0.5,0.222222,0.0,-0.2778,,,,,,,,,,,32.306,4.056,9.36,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/9000.jpg,1,1,True,berlyne-arousal-pleasure,0.95,,,3.0,4.5,0.222222,0.388889,5.5,5.5,0.5,0.5,0.2778,0.1111,,,,,,,,,,,33.466,4.19,9.464,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4670.jpg,2,2,True,cognitive-appraisal,0.9,,,5.5,5.5,0.5,0.5,7.5,7.5,0.722222,0.722222,0.2222,0.2222,,,,,,,,,,,32.662,4.079,12.183,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2597.jpg,3,3,True,cognitive-appraisal,0.9,,,5.5,5.5,0.5,0.5,6.5,8.0,0.611111,0.777778,0.1111,0.2778,,,,,,,,,,,33.017,3.84,11.097,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5870.jpg,0,0,True,kaplan-art-restoration,0.95,,,6.5,6.5,0.611111,0.611111,7.0,4.5,0.666667,0.388889,0.0556,-0.2222,,,,,,,,,,,4.808,4.269,10.451,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5825.jpg,1,1,True,kaplan-art-restoration,0.95,,,8.5,6.0,0.833333,0.555556,8.5,4.0,0.833333,0.333333,0.0,-0.2222,,,,,,,,,,,5.074,3.914,10.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/6251.jpg,2,2,True,panas-discrete-va,0.95,,,5.5,8.5,0.5,0.833333,1.99,8.02,0.11,0.78,-0.39,-0.0533,,,,,,,,,,,5.141,4.3,9.552,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2220.jpg,3,3,True,panas-discrete-va,0.95,,,5.5,5.5,0.5,0.5,2.5,8.5,0.166667,0.833333,-0.3333,0.3333,,,,,,,,,,,4.795,4.077,13.915,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4645.jpg,0,0,True,todorov-face-evaluation,0.95,,,8.5,4.5,0.833333,0.388889,7.5,5.5,0.722222,0.5,-0.1111,0.1111,,,,,,,,,,,4.419,3.987,10.106,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/9190.jpg,1,1,True,todorov-face-evaluation,0.95,,,5.5,5.5,0.5,0.5,7.0,6.0,0.666667,0.555556,0.1667,0.0556,,,,,,,,,,,4.406,4.271,9.398,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4574.jpg,2,2,True,panas-discrete-va,0.98,,,9.0,6.5,0.888889,0.611111,9.5,7.5,0.944444,0.722222,0.0556,0.1111,,,,,,,,,,,4.829,3.856,12.816,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5836.jpg,3,3,True,kaplan-art-restoration,0.95,,,7.0,5.5,0.666667,0.5,7.5,5.5,0.722222,0.5,0.0556,0.0,,,,,,,,,,,4.7,3.941,10.475,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2357.jpg,0,0,True,cognitive-appraisal,0.8,,,5.5,5.5,0.5,0.5,6.5,3.5,0.611111,0.277778,0.1111,-0.2222,,,,,,,,,,,5.125,4.71,11.681,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/7004.jpg,1,1,True,kaplan-art-restoration,0.95,,,6.0,4.5,0.555556,0.388889,6.5,4.0,0.611111,0.333333,0.0556,-0.0556,,,,,,,,,,,4.215,3.928,10.255,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2751.jpg,2,2,True,cognitive-appraisal,0.95,,,3.0,6.5,0.222222,0.611111,3.0,7.0,0.222222,0.666667,0.0,0.0556,,,,,,,,,,,5.401,4.018,11.855,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/6260.jpg,3,3,True,cognitive-appraisal,0.95,,,3.0,8.5,0.222222,0.833333,2.5,9.0,0.166667,0.888889,-0.0556,0.0556,,,,,,,,,,,4.956,3.947,11.967,,,
