image,ok,selected_skill,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/Emoskill_test/uploads/030013_Y_000.jpg,True,panas-discrete-va,0.95,0.703333,0.592222,7.0,6.0,0.75,0.625,8.0,7.0,0.875,0.75,0.125,0.125,0.046667,0.032778,0.046667,0.032778,0.057028,0.171667,0.157778,0.171667,0.157778,0.23316,128.529,6.182,13.669,,,
/home/u1120250383/dcs/Emoskill_test/uploads/030013_Y_093.jpg,True,cognitive-appraisal,0.9,0.63,0.63,7.0,5.0,0.75,0.5,7.0,5.0,0.75,0.5,0.0,0.0,0.12,-0.13,0.12,0.13,0.176918,0.12,-0.13,0.12,0.13,0.176918,5.945,10.018,16.594,,,
/home/u1120250383/dcs/Emoskill_test/uploads/096817_Y_048.jpg,True,kaplan-art-restoration,0.95,0.481111,0.444444,4.0,3.0,0.375,0.25,5.0,4.0,0.5,0.375,0.125,0.125,-0.106111,-0.194444,0.106111,0.194444,0.221513,0.018889,-0.069444,0.018889,0.069444,0.071967,6.29,5.706,7.216,,,
/home/u1120250383/dcs/Emoskill_test/uploads/096817_Y_057.jpg,True,panas-discrete-va,0.95,0.741111,0.703333,8.0,6.0,0.875,0.625,8.2,7.8,0.9,0.85,0.025,0.225,0.133889,-0.078333,0.133889,0.078333,0.15512,0.158889,0.146667,0.158889,0.146667,0.216233,6.383,5.531,15.738,,,
/home/u1120250383/dcs/Emoskill_test/uploads/141517_Y_062.jpg,True,todorov-face-evaluation,0.95,0.481111,0.444444,6.0,4.0,0.625,0.375,6.0,5.0,0.625,0.5,0.0,0.125,0.143889,-0.069444,0.143889,0.069444,0.15977,0.143889,0.055556,0.143889,0.055556,0.154242,6.135,5.67,11.049,,,
/home/u1120250383/dcs/Emoskill_test/uploads/141517_Y_077.jpg,True,kaplan-art-restoration,0.95,0.481111,0.407778,7.0,3.0,0.75,0.25,7.0,3.0,0.75,0.25,0.0,0.0,0.268889,-0.157778,0.268889,0.157778,0.311761,0.268889,-0.157778,0.268889,0.157778,0.311761,6.075,7.466,11.06,,,
/home/u1120250383/dcs/Emoskill_test/uploads/141517_Y_099.jpg,True,kaplan-art-restoration,0.95,0.555556,0.444444,7.0,3.0,0.75,0.25,7.0,3.0,0.75,0.25,0.0,0.0,0.194444,-0.194444,0.194444,0.194444,0.274985,0.194444,-0.194444,0.194444,0.194444,0.274985,6.185,6.017,7.186,,,
/home/u1120250383/dcs/Emoskill_test/uploads/158941_Y_002.jpg,True,cognitive-appraisal,0.9,0.481111,0.481111,6.0,7.0,0.625,0.75,7.0,8.0,0.75,0.875,0.125,0.125,0.143889,0.268889,0.143889,0.268889,0.304968,0.268889,0.393889,0.268889,0.393889,0.476917,5.798,6.52,19.019,,,
/home/u1120250383/dcs/Emoskill_test/uploads/158941_Y_015.jpg,True,panas-discrete-va,0.95,0.63,0.518889,8.0,6.0,0.875,0.625,8.0,6.0,0.875,0.625,0.0,0.0,0.245,0.106111,0.245,0.106111,0.266992,0.245,0.106111,0.245,0.106111,0.266992,5.618,5.576,15.648,,,
/home/u1120250383/dcs/Emoskill_test/uploads/158941_Y_071.jpg,True,todorov-face-evaluation,0.95,0.555556,0.592222,7.0,4.0,0.75,0.375,7.0,5.0,0.75,0.5,0.0,0.125,0.194444,-0.217222,0.194444,0.217222,0.291537,0.194444,-0.092222,0.194444,0.092222,0.215205,5.525,6.961,7.244,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_001.jpg,True,panas-discrete-va,0.95,0.63,0.518889,8.0,5.0,0.875,0.5,8.0,6.0,0.875,0.625,0.0,0.125,0.245,-0.018889,0.245,0.018889,0.245727,0.245,0.106111,0.245,0.106111,0.266992,5.779,7.42,14.373,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_021.jpg,True,berlyne-arousal-pleasure,0.95,0.444444,0.444444,6.0,4.0,0.625,0.375,7.0,6.0,0.75,0.625,0.125,0.25,0.180556,-0.069444,0.180556,0.069444,0.19345,0.305556,0.180556,0.305556,0.180556,0.354915,5.668,9.082,13.215,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_027.jpg,True,berlyne-arousal-pleasure,0.95,0.481111,0.481111,7.0,3.0,0.75,0.25,7.0,6.0,0.75,0.625,0.0,0.375,0.268889,-0.231111,0.268889,0.231111,0.354561,0.268889,0.143889,0.268889,0.143889,0.304968,6.492,6.121,11.975,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_031.jpg,True,berlyne-arousal-pleasure,0.95,0.518889,0.444444,7.0,5.0,0.75,0.5,7.0,6.0,0.75,0.625,0.0,0.125,0.231111,0.055556,0.231111,0.055556,0.237695,0.231111,0.180556,0.231111,0.180556,0.293279,5.654,6.301,14.404,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_051.jpg,True,berlyne-arousal-pleasure,0.95,0.481111,0.444444,5.0,5.0,0.5,0.5,6.0,7.0,0.625,0.75,0.125,0.25,0.018889,0.055556,0.018889,0.055556,0.058679,0.143889,0.305556,0.143889,0.305556,0.33774,6.055,6.09,12.006,,,
