image,worker_id,gpu_id,ok,selected_skill,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1019.jpg,0,0,True,berlyne-arousal-pleasure,0.95,,,4.0,8.5,0.333333,0.833333,5.5,7.5,0.5,0.722222,0.1667,-0.1111,,,,,,,,,,,35.527,4.181,9.604,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1022.jpg,1,1,True,berlyne-arousal-pleasure,0.95,,,5.5,5.5,0.5,0.5,5.5,7.0,0.5,0.666667,0.0,0.1667,,,,,,,,,,,36.537,4.21,11.079,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1026.jpg,2,2,True,berlyne-arousal-pleasure,0.85,,,5.5,6.5,0.5,0.611111,6.5,7.5,0.611111,0.722222,0.1111,0.1111,,,,,,,,,,,36.206,4.406,11.081,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1030.jpg,3,3,True,berlyne-arousal-pleasure,0.95,,,5.5,5.5,0.5,0.5,6.5,7.5,0.611111,0.722222,0.1111,0.2222,,,,,,,,,,,36.046,4.366,10.256,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1033.jpg,0,0,True,berlyne-arousal-pleasure,0.9,,,5.5,5.5,0.5,0.5,6.5,7.0,0.611111,0.666667,0.1111,0.1667,,,,,,,,,,,4.85,4.042,10.466,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1040.jpg,1,1,True,berlyne-arousal-pleasure,0.95,,,5.5,5.5,0.5,0.5,5.5,8.0,0.5,0.777778,0.0,0.2778,,,,,,,,,,,4.907,4.382,10.227,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1050.jpg,2,2,True,panas-discrete-va,0.95,,,5.5,8.5,0.5,0.833333,2.5,9.0,0.166667,0.888889,-0.3333,0.0556,,,,,,,,,,,4.742,4.095,13.865,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1051.jpg,3,3,True,panas-discrete-va,0.95,,,3.5,8.5,0.277778,0.833333,2.0,9.0,0.111111,0.888889,-0.1667,0.0556,,,,,,,,,,,5.069,4.267,13.442,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1052.jpg,0,0,True,panas-discrete-va,0.95,,,5.5,8.5,0.5,0.833333,2.5,9.0,0.166667,0.888889,-0.3333,0.0556,,,,,,,,,,,5.416,4.281,13.879,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1070.jpg,1,1,True,berlyne-arousal-pleasure,0.9,,,5.5,5.5,0.5,0.5,6.5,7.5,0.611111,0.722222,0.1111,0.2222,,,,,,,,,,,4.547,4.258,9.641,,,
