image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1030.jpg,3,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,2.5,8.0,0.166667,0.777778,-0.3333,0.2778,,,,,,,,,,,63.707,14.922,33.066,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1051.jpg,3,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,1.8,8.5,0.088889,0.833333,-0.4111,0.3333,,,,,,,,,,,14.917,13.519,33.68,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1090.jpg,3,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,2.0,8.5,0.111111,0.833333,-0.3889,0.3333,,,,,,,,,,,15.48,13.121,33.551,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1112.jpg,3,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.5,5.5,0.5,0.5,2.5,7.5,0.166667,0.722222,-0.3333,0.2222,,,,,,,,,,,15.356,14.956,36.68,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1121.jpg,3,,True,berlyne-arousal-pleasure,berlyne-arousal-pleasure,"[""berlyne-arousal-pleasure""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,6.5,6.5,0.611111,0.611111,7.0,6.5,0.666667,0.611111,0.0556,0.0,,,,,,,,,,,16.66,18.417,36.575,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1202.jpg,3,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.5,5.5,0.5,0.5,2.5,7.0,0.166667,0.666667,-0.3333,0.1667,,,,,,,,,,,15.786,15.363,38.433,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1240.jpg,3,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.5,5.5,0.5,0.5,2.5,7.5,0.166667,0.722222,-0.3333,0.2222,,,,,,,,,,,15.298,13.824,35.501,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1275.jpg,3,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.0,6.5,0.222222,0.611111,2.5,6.5,0.166667,0.611111,-0.0556,0.0,,,,,,,,,,,14.584,14.379,41.248,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1302.jpg,3,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.0,8.5,0.222222,0.833333,2.0,8.5,0.111111,0.833333,-0.1111,0.0,,,,,,,,,,,17.757,15.509,40.545,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1313.jpg,3,,True,no_specialized_skill,no_specialized_skill,[],0,"The image depicts a frog perched on an animal's head with a visible eye, but no specialized skill is strongly activated by the visible cues.",False,0.95,,,5.5,5.5,0.5,0.5,5.5,5.5,0.5,0.5,0.0,0.0,,,,,,,,,,,17.17,15.377,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1350.jpg,3,,True,no_specialized_skill,no_specialized_skill,[],0,"The image depicts a single pig in a naturalistic, unremarkable outdoor setting with no strong affective cues that activate any specialized psychology skill.",False,0.98,,,5.5,5.5,0.5,0.5,5.5,5.5,0.5,0.5,0.0,0.0,,,,,,,,,,,14.634,12.826,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1440.jpg,3,,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,8.5,4.5,0.833333,0.388889,8.5,4.0,0.833333,0.333333,0.0,-0.0556,,,,,,,,,,,13.914,13.499,35.455,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1463.jpg,3,,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,8.0,6.5,0.777778,0.611111,8.5,5.0,0.833333,0.444444,0.0556,-0.1667,,,,,,,,,,,18.9,19.052,48.479,,,
