image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,direct_activation_evidence,direct_arousal_gate,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_applicability,skill_activation_evidence,skill_arousal_gate,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/6572.jpg,0,0,True,cognitive-appraisal,cognitive-appraisal,"[""cognitive-appraisal""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,"[""object in motion (hair dryer pointed at head), implied imminent action""]",,2.5,6.8,0.1875,0.725,strong,"[""handheld hairdryer aimed at head"", ""imminent threat of harm""]",,-0.3125,0.225,,,,,,,,,,,45.279,18.503,33.025,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2410.jpg,1,1,True,cognitive-appraisal,cognitive-appraisal,"[""cognitive-appraisal""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,"[""person writing on blackboard with chalk""]",,3.5,4.5,0.3125,0.4375,partial,[],,-0.1875,-0.0625,,,,,,,,,,,47.377,16.0,35.614,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/9435.jpg,2,2,True,cognitive-appraisal,cognitive-appraisal,"[""cognitive-appraisal""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.0,7.5,0.25,0.8125,"[""person in white uniform leaning over injured person"", ""multiple people lying motionless on ground"", ""visible blood and debris"", ""intense facial expressions of pain and distress""]",,2.5,4.5,0.1875,0.4375,strong,[],arousal 4.8 capped to 4.5: empty activation_evidence,-0.0625,-0.375,,,,,,,,,,,48.544,17.504,37.178,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/6831.jpg,3,3,True,cognitive-appraisal,cognitive-appraisal,"[""cognitive-appraisal""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.0,7.5,0.25,0.8125,"[""person lying motionless on floor with visible blood stain"", ""police officer holding weapon in doorway"", ""imminent threat implied by officer's posture and weapon presence""]",,2.5,4.5,0.1875,0.4375,strong,[],arousal 5.2 capped to 4.5: empty activation_evidence,-0.0625,-0.375,,,,,,,,,,,45.513,16.047,41.858,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4290.jpg,0,0,True,facial-expression-affect,direct-va-baseline,"[""facial-expression-affect""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.95,,,7.0,6.5,0.75,0.6875,"[""intense facial expression with direct gaze"", ""suggestive body posture and partial nudity"", ""high-contrast lighting emphasizing skin and form""]",,7.0,6.5,0.75,0.6875,,"[""intense facial expression with direct gaze"", ""suggestive body posture and partial nudity"", ""high-contrast lighting emphasizing skin and form""]",,0.0,0.0,,,,,,,,,,,18.528,16.386,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2372.jpg,1,1,True,facial-expression-affect,facial-expression-affect,"[""facial-expression-affect""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,"[""intense facial expression with wide eyes and open mouth""]",,3.5,6.5,0.3125,0.6875,strong,"[""wide-eyed alarm"", ""open mouth with parted lips""]",,-0.1875,0.1875,,,,,,,,,,,16.228,15.384,32.02,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2220.jpg,2,2,True,facial-expression-affect,direct-va-baseline,"[""facial-expression-affect""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.95,,,5.0,5.0,0.5,0.5,"[""intense facial expression with narrowed eyes and finger near nose""]",,5.0,5.0,0.5,0.5,,"[""intense facial expression with narrowed eyes and finger near nose""]",,0.0,0.0,,,,,,,,,,,15.658,13.194,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/3360.jpg,3,3,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.0,4.5,0.5,0.4375,[],arousal 5.0 capped to 4.5: empty activation_evidence,5.0,4.5,0.5,0.4375,partial,[],arousal 5.0 capped to 4.5: empty activation_evidence,0.0,0.0,,,,,,,,,,,17.226,12.463,38.559,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/9561.jpg,0,0,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,3.5,4.5,0.3125,0.4375,[],,4.5,5.5,0.4375,0.5625,strong,"[""visible injury on face"", ""matted wet fur"", ""depressed posture""]",,0.125,0.125,,,,,,,,,,,17.194,15.99,35.796,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1463.jpg,1,1,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,7.5,5.5,0.8125,0.5625,"[""two kittens with open mouths showing vocalization"", ""kittens in close physical contact"", ""intense eye contact with viewer""]",,7.5,5.2,0.8125,0.525,strong,"[""two kittens yawning with open mouths"", ""kittens huddled together in close proximity""]",,0.0,-0.0375,,,,,,,,,,,18.459,16.344,31.745,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5950.jpg,2,2,True,awe,awe,"[""awe""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,6.8,0.5,0.725,"[""intense lightning bolts illuminating the sky with visible branching and motion""]",,3.5,7.0,0.3125,0.75,strong,"[""lightning bolts in motion"", ""uncontrollable atmospheric force""]",,-0.1875,0.025,,,,,,,,,,,17.37,15.798,30.819,,,
