image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1019.jpg,0,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,1.8,8.5,0.088889,0.833333,-0.4111,0.3333,,,,,,,,,,,63.005,15.089,32.787,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1033.jpg,0,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,2.5,7.5,0.166667,0.722222,-0.3333,0.2222,,,,,,,,,,,15.651,14.922,33.986,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1052.jpg,0,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,1.8,9.0,0.088889,0.888889,-0.4111,0.3889,,,,,,,,,,,13.79,14.445,30.037,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1101.jpg,0,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,2.5,7.5,0.166667,0.722222,-0.3333,0.2222,,,,,,,,,,,17.764,19.252,31.974,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1113.jpg,0,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,2.0,8.5,0.111111,0.833333,-0.3889,0.3333,,,,,,,,,,,14.756,17.835,38.073,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1122.jpg,0,,True,no_specialized_skill,no_specialized_skill,[],0,"The image shows a gecko on a window frame, which is a neutral, non-threatening, and non-aesthetic scene lacking strong affective triggers for any specialized psychology skill.",False,0.98,,,5.5,5.5,0.5,0.5,5.5,5.5,0.5,0.5,0.0,0.0,,,,,,,,,,,14.31,13.456,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1205.jpg,0,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,2.0,8.5,0.111111,0.833333,-0.3889,0.3333,,,,,,,,,,,15.11,16.331,30.473,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1270.jpg,0,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.0,6.5,0.222222,0.611111,2.5,7.0,0.166667,0.666667,-0.0556,0.0556,,,,,,,,,,,14.568,15.534,37.822,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1280.jpg,0,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,2.5,8.5,0.166667,0.833333,2.0,8.5,0.111111,0.833333,-0.0556,0.0,,,,,,,,,,,17.834,15.156,31.41,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1303.jpg,0,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.5,5.5,0.5,0.5,2.5,8.0,0.166667,0.777778,-0.3333,0.2778,,,,,,,,,,,18.14,18.262,49.291,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1321.jpg,0,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.0,9.0,0.222222,0.888889,1.8,9.2,0.088889,0.911111,-0.1333,0.0222,,,,,,,,,,,13.681,19.286,35.005,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1390.jpg,0,,True,no_specialized_skill,no_specialized_skill,[],0,"The image depicts bees in close-up, lacking clear cues for any specialized affective construct like awe, baby schema, fear, disgust, or cognitive appraisal.",False,0.95,,,5.5,5.5,0.5,0.5,5.5,5.5,0.5,0.5,0.0,0.0,,,,,,,,,,,14.583,13.505,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1441.jpg,0,,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,8.5,3.0,0.833333,0.222222,8.5,4.0,0.833333,0.333333,0.0,0.1111,,,,,,,,,,,16.289,15.038,44.899,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1500.jpg,0,,True,no_specialized_skill,no_specialized_skill,[],0,"The image shows a dog in a natural setting, but no specialized affective skill is strongly activated by the visible cues.",False,0.95,,,7.0,4.5,0.666667,0.388889,7.0,4.5,0.666667,0.388889,0.0,0.0,,,,,,,,,,,15.175,11.823,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1540.jpg,0,,True,no_specialized_skill,no_specialized_skill,[],0,The image features a cat with no visible cues activating any specialized psychology skill's core constructs.,False,1.0,,,7.5,6.0,0.722222,0.555556,7.5,6.0,0.722222,0.555556,0.0,0.0,,,,,,,,,,,14.62,14.545,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1600.jpg,0,,True,kaplan-art-restoration,kaplan-art-restoration,"[""kaplan-art-restoration""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,7.5,4.5,0.722222,0.388889,7.5,3.5,0.722222,0.277778,0.0,-0.1111,,,,,,,,,,,16.327,17.391,43.234,,,
