image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_applicability,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/2000.jpg,0,0,True,facial-expression-affect,facial-expression-affect,"[""facial-expression-affect""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,8.0,6.0,0.875,0.625,8.0,5.0,0.875,0.5,strong,0.0,-0.125,,,,,,,,,,,30.978,3.24,15.296,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2010.jpg,1,1,True,facial-expression-affect,facial-expression-affect,"[""facial-expression-affect""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,7.0,5.0,0.75,0.5,7.5,5.0,0.8125,0.5,strong,0.0625,0.0,,,,,,,,,,,31.017,3.468,16.108,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2020.jpg,2,2,True,facial-expression-affect,facial-expression-affect,"[""facial-expression-affect""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,8.0,6.0,0.875,0.625,8.0,6.0,0.875,0.625,strong,0.0,0.0,,,,,,,,,,,31.068,3.61,16.012,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2100.jpg,3,3,True,facial-expression-affect,facial-expression-affect,"[""facial-expression-affect""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.0,7.0,0.25,0.75,2.5,8.0,0.1875,0.875,strong,-0.0625,0.125,,,,,,,,,,,31.657,3.52,16.649,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2120.jpg,0,0,True,facial-expression-affect,facial-expression-affect,"[""facial-expression-affect""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,2.0,8.0,0.125,0.875,2.0,8.5,0.125,0.9375,strong,0.0,0.0625,,,,,,,,,,,5.615,3.726,16.011,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2130.jpg,1,1,True,facial-expression-affect,facial-expression-affect,"[""facial-expression-affect""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,2.0,8.0,0.125,0.875,2.0,8.5,0.125,0.9375,strong,0.0,0.0625,,,,,,,,,,,5.297,3.656,17.049,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2220.jpg,2,2,True,facial-expression-affect,facial-expression-affect,"[""facial-expression-affect""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.9,,,5.0,5.0,0.5,0.5,4.0,7.0,0.375,0.75,strong,-0.125,0.25,,,,,,,,,,,5.367,3.259,16.944,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/9000.jpg,3,3,True,no_specialized_skill,no_specialized_skill,[],0,"No direct affective mechanism visible; symbolic memorial without event, stakes, or perceptual stimulation.",False,1.0,,,3.0,4.0,0.25,0.375,3.0,4.0,0.25,0.375,,0.0,0.0,,,,,,,,,,,6.296,2.928,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2597.jpg,0,0,True,cognitive-appraisal,cognitive-appraisal,"[""cognitive-appraisal""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.9,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,partial,0.0,0.0,,,,,,,,,,,5.253,3.604,19.877,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/7080.jpg,1,1,True,no_specialized_skill,no_specialized_skill,[],0,Ordinary object on neutral background; no visible affective mechanism or event.,False,1.0,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,5.065,2.905,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5870.jpg,2,2,True,no_specialized_skill,no_specialized_skill,[],0,"No specialized affective mechanism is visibly dominant; cloud scene lacks scale cues, threat, novelty, or restorative structure.",False,1.0,,,6.0,5.0,0.625,0.5,6.0,5.0,0.625,0.5,,0.0,0.0,,,,,,,,,,,5.923,3.105,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4670.jpg,3,3,True,no_specialized_skill,no_specialized_skill,[],0,"No direct affective mechanism visible; neutral body posture without clear emotion, threat, novelty, or restorative environment.",False,1.0,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,7.534,3.056,0.0,,,
