image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,direct_activation_evidence,direct_arousal_gate,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_applicability,skill_activation_evidence,skill_arousal_gate,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1022.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,5.0,0.5,0.5,"[""snake's tongue flicking"", ""intense eye gaze"", ""coiled posture suggesting alertness""]",,3.5,6.0,0.3125,0.625,strong,"[""facing viewer"", ""tongue flicking"", ""coiled posture""]",,-0.1875,0.125,,,,,,,,,,,37.667,3.176,18.726,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1040.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.0,6.5,0.5,0.6875,"[""snake's tongue flicking"", ""intense eye focus"", ""coiled threatening posture""]",,3.5,6.0,0.3125,0.625,strong,"[""tongue flicking"", ""head raised"", ""facing viewer""]",,-0.1875,-0.0625,,,,,,,,,,,7.297,3.287,19.18,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1070.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,4.5,0.5,0.4375,[],arousal 5.0 capped to 4.5: empty activation_evidence,4.0,4.5,0.375,0.4375,partial,[],arousal 5.0 capped to 4.5: empty activation_evidence,-0.125,0.0,,,,,,,,,,,6.603,3.067,22.317,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1110.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,6.5,0.5,0.6875,"[""snake in defensive posture with hood expanded"", ""imminent threat posture""]",,3.5,5.5,0.3125,0.5625,strong,"[""raised hood"", ""facing viewer"", ""coiled posture""]",,-0.1875,-0.125,,,,,,,,,,,6.74,3.12,17.661,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1114.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.5,7.5,0.3125,0.8125,"[""open mouth displaying fangs"", ""intense facial expression"", ""threatening posture""]",,3.5,6.8,0.3125,0.725,strong,"[""open mouth with fangs visible"", ""head raised and facing viewer"", ""coiled posture suggesting readiness""]",,0.0,-0.0875,,,,,,,,,,,6.184,3.207,17.414,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1200.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,4.5,0.5,0.4375,[],arousal 5.0 capped to 4.5: empty activation_evidence,3.5,4.5,0.3125,0.4375,partial,[],arousal 5.0 capped to 4.5: empty activation_evidence,-0.1875,0.0,,,,,,,,,,,5.924,3.126,22.994,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1220.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.0,4.5,0.5,0.4375,[],arousal 5.0 capped to 4.5: empty activation_evidence,4.0,4.5,0.375,0.4375,partial,[],arousal 5.0 capped to 4.5: empty activation_evidence,-0.125,0.0,,,,,,,,,,,5.621,3.02,20.895,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1271.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,"No clear affective mechanism dominates; insects are neutral, not threatening or novel.",False,1.0,,,5.0,4.5,0.5,0.4375,[],arousal 5.0 capped to 4.5: empty activation_evidence,5.0,4.5,0.5,0.4375,,[],arousal 5.0 capped to 4.5: empty activation_evidence,0.0,0.0,,,,,,,,,,,5.165,3.124,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1300.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,2.5,8.5,0.1875,0.9375,"[""intense facial expression of aggression"", ""bared teeth and open mouth"", ""direct confrontational gaze""]",,3.0,7.5,0.25,0.8125,strong,"[""bared teeth"", ""intense direct gaze"", ""open mouth strike posture"", ""close proximity""]",,0.0625,-0.125,,,,,,,,,,,6.478,3.446,18.496,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1304.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.5,7.5,0.3125,0.8125,"[""intense facial expression with open mouth and bared teeth"", ""visible motion blur indicating rapid movement or vocalization"", ""threatening posture with direct gaze""]",,3.0,6.5,0.25,0.6875,strong,"[""bared teeth"", ""intense gaze"", ""open mouth in aggressive display""]",,-0.0625,-0.125,,,,,,,,,,,7.576,3.567,20.351,,,
