image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,direct_activation_evidence,direct_arousal_gate,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_applicability,skill_activation_evidence,skill_arousal_gate,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1030.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,4.5,0.5,0.4375,[],arousal 5.0 capped to 4.5: empty activation_evidence,4.0,4.5,0.375,0.4375,partial,[],arousal 5.0 capped to 4.5: empty activation_evidence,-0.125,0.0,,,,,,,,,,,35.957,3.137,21.324,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1051.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.5,7.5,0.3125,0.8125,"[""snake mouth open in threat display"", ""imminent danger implied by posture and context""]",,3.5,6.5,0.3125,0.6875,strong,"[""open mouth"", ""facing viewer"", ""predatory posture""]",,0.0,-0.125,,,,,,,,,,,7.092,3.233,17.654,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1090.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,6.5,0.5,0.6875,"[""snake coiled and head raised in defensive posture""]",,3.5,6.0,0.3125,0.625,strong,"[""raised hood"", ""facing viewer"", ""coiled posture""]",,-0.1875,-0.0625,,,,,,,,,,,5.707,3.131,18.048,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1112.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,"[""snake in close proximity to person's foot"", ""person's foot positioned directly over snake""]",,4.0,5.0,0.375,0.5,partial,"[""close proximity"", ""direct orientation""]",,-0.125,0.0,,,,,,,,,,,7.441,3.115,19.652,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1121.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,No specialized affective mechanism is strongly visible; gecko is neutral subject on leaf.,False,1.0,,,7.0,5.0,0.75,0.5,"[""gecko's dynamic pose on leaf"", ""vivid coloration and pattern""]",,7.0,5.0,0.75,0.5,,"[""gecko's dynamic pose on leaf"", ""vivid coloration and pattern""]",,0.0,0.0,,,,,,,,,,,5.801,3.104,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1202.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,4.5,0.5,0.4375,[],,4.0,4.5,0.375,0.4375,partial,[],arousal 5.0 capped to 4.5: empty activation_evidence,-0.125,0.0,,,,,,,,,,,5.342,3.172,20.819,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1240.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,4.5,0.5,0.4375,[],arousal 5.0 capped to 4.5: empty activation_evidence,4.0,4.5,0.375,0.4375,partial,[],arousal 5.0 capped to 4.5: empty activation_evidence,-0.125,0.0,,,,,,,,,,,6.649,3.124,22.456,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1275.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.5,4.5,0.3125,0.4375,[],,3.5,4.5,0.3125,0.4375,partial,[],,0.0,0.0,,,,,,,,,,,6.297,3.559,21.707,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1302.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.5,7.5,0.3125,0.8125,"[""intense facial expression with bared teeth and snarling mouth"", ""alert and forward-facing posture"", ""intense gaze""]",,3.0,6.5,0.25,0.6875,strong,"[""bared teeth"", ""alert ears"", ""direct orientation toward viewer""]",,-0.0625,-0.125,,,,,,,,,,,6.725,3.462,18.222,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1313.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,No clear affective mechanism dominates; frog on animal eye is neutral composition.,False,1.0,,,5.5,5.5,0.5625,0.5625,"[""close threatening proximity of frog on animal's head"", ""intense eye gaze""]",,5.5,5.5,0.5625,0.5625,,"[""close threatening proximity of frog on animal's head"", ""intense eye gaze""]",,0.0,0.0,,,,,,,,,,,7.69,3.096,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1350.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,No strong affective mechanism visible beyond neutral animal presence.,False,0.99,,,5.0,4.5,0.5,0.4375,[],,5.0,4.5,0.5,0.4375,,[],,0.0,0.0,,,,,,,,,,,5.39,3.081,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1440.jpg,,,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,7.5,4.5,0.8125,0.4375,[],,7.5,3.8,0.8125,0.35,strong,[],,0.0,-0.0875,,,,,,,,,,,8.816,3.558,20.66,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1463.jpg,,,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,7.5,6.5,0.8125,0.6875,"[""open mouths suggesting vocalization or play"", ""close physical proximity and interaction among kittens"", ""intense eye contact and alert facial expressions""]",,7.5,5.2,0.8125,0.525,strong,"[""open mouths suggesting vocalization"", ""close physical proximity and touching""]",,0.0,-0.1625,,,,,,,,,,,7.307,3.182,18.088,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1525.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.0,8.5,0.25,0.9375,"[""intense facial expression of aggression"", ""bared teeth and open mouth"", ""spiked collar suggesting threat""]",,3.0,7.5,0.25,0.8125,strong,"[""open mouth with bared teeth"", ""facing viewer"", ""spiked collar indicating aggression""]",,0.0,-0.125,,,,,,,,,,,6.138,3.794,19.223,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1595.jpg,,,True,berlyne-arousal-pleasure,berlyne-arousal-pleasure,"[""berlyne-arousal-pleasure""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,7.5,7.0,0.8125,0.75,"[""horse in motion with legs extended"", ""mane flowing dynamically"", ""intense forward gaze""]",,7.0,6.5,0.75,0.6875,strong,"[""motion/action: horse running with blurred mane and legs""]",,-0.0625,-0.0625,,,,,,,,,,,6.177,3.839,17.173,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1603.jpg,,,True,berlyne-arousal-pleasure,berlyne-arousal-pleasure,"[""berlyne-arousal-pleasure""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.9,,,7.5,5.0,0.8125,0.5,"[""butterfly resting on flower with visible wing pattern and antennae""]",,7.5,4.5,0.8125,0.4375,strong,[],,0.0,-0.0625,,,,,,,,,,,6.416,3.704,22.742,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1616.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.0,6.5,0.5,0.6875,"[""intense facial expression with wide eye"", ""close-up threatening proximity"", ""textured skin suggesting aggression""]",,3.5,6.8,0.3125,0.725,strong,"[""direct orientation toward viewer"", ""intense eye contact"", ""textured beak suggesting predatory readiness""]",,-0.1875,0.0375,,,,,,,,,,,7.145,3.603,19.025,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1640.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.9,,,5.5,5.5,0.5625,0.5625,"[""animal in mid-stride, suggesting motion""]",,4.5,5.0,0.4375,0.5,partial,"[""alert posture"", ""dark background suggesting concealment""]",,-0.125,-0.0625,,,,,,,,,,,6.686,3.306,19.255,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1660.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,Neutral gorilla portrait; no clear affective mechanism beyond basic presence.,False,0.99,,,5.0,4.5,0.5,0.4375,[],arousal 5.0 capped to 4.5: empty activation_evidence,5.0,4.5,0.5,0.4375,,[],arousal 5.0 capped to 4.5: empty activation_evidence,0.0,0.0,,,,,,,,,,,5.471,3.173,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1710.jpg,,,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,7.5,5.5,0.8125,0.5625,"[""central puppy's open mouth and alert expression"", ""puppies' forward-facing gaze and attentive posture""]",,7.5,4.5,0.8125,0.4375,strong,[],,0.0,-0.125,,,,,,,,,,,6.866,3.591,18.156,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1726.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.5,7.5,0.3125,0.8125,"[""tiger with mouth open in aggressive display"", ""intense facial expression showing teeth"", ""body posture suggesting imminent attack""]",,3.0,7.0,0.25,0.75,strong,"[""open mouth with bared teeth"", ""directly facing viewer"", ""aggressive posture""]",,-0.0625,-0.0625,,,,,,,,,,,7.723,3.634,19.174,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1810.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,Hippo in water lacks clear affective mechanism beyond neutral presence.,False,0.99,,,6.5,5.0,0.6875,0.5,"[""intense facial expression of the hippopotamus"", ""close proximity to viewer""]",,6.5,5.0,0.6875,0.5,,"[""intense facial expression of the hippopotamus"", ""close proximity to viewer""]",,0.0,0.0,,,,,,,,,,,6.907,3.08,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1850.jpg,,,True,awe,awe,"[""awe""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,7.0,4.5,0.75,0.4375,[],,7.2,4.5,0.775,0.4375,strong,[],arousal 4.8 capped to 4.5: empty activation_evidence,0.025,0.0,,,,,,,,,,,7.951,3.562,20.918,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1910.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,"No clear affective mechanism dominates; fish scene lacks threat, novelty, or restorative cues.",False,1.0,,,6.5,5.0,0.6875,0.5,"[""fish in motion or proximity"", ""dynamic underwater scene""]",,6.5,5.0,0.6875,0.5,,"[""fish in motion or proximity"", ""dynamic underwater scene""]",,0.0,0.0,,,,,,,,,,,6.118,3.441,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1932.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.5,8.5,0.3125,0.9375,"[""imminent threat: shark mouth open wide with visible teeth and blood"", ""close threatening proximity: shark head emerging from water"", ""uncontrollable force: water splashing violently around the shark""]",,3.0,7.5,0.25,0.8125,strong,"[""open jaws"", ""visible teeth"", ""close proximity"", ""facing viewer""]",,-0.0625,-0.125,,,,,,,,,,,7.704,3.462,19.256,,,
